"Yeezy Boost 350 V2 Black Red (2017/2020)",Adidas,12/05/2020,"Kanye West",Black,US,m,4,17,346,376,"Known for their iconic collabs - once again Kanye West and adidas brewed up more sneaker collection heat with the adidas Yeezy Boost 350 Black Red. Showing Pirate Black flashes these come with a core black upper and sole that has a core red SPLY-350 branding on both sides. These released in November 2016 and retailed at $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-core-black-red-2017,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017/Images/adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017/Lv2/img04.jpg?auto=format,compress&q=90&updated_at=1606320792&w=1000
"Yeezy 500 Utility Black",Adidas,07/07/2018,"Kanye West",Black,US,m,4,17,265,343,"Kanye is back - this time with a brand new colorway of the Yeezy 500. Keeping it monochromatic this pair is covered entirely in utility black. This pair features a suede upper with mesh paneling like other Yeezy 500s. In addition the midsole utilizes Adiprene cushioning technology from Adidas. Released in July 2018 this pair retailed for $200.",training,https://stockx.com/adidas-yeezy-500-utility-black,https://stockx-360.imgix.net/adidas-Yeezy-500-Utility-Black/Images/adidas-Yeezy-500-Utility-Black/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606319127&w=1000
"Yeezy Boost 350 V2 Zebra",Adidas,02/25/2017,"Kanye West",White,US,m,4,17,327,345,"Adidas is back with their latest Yeezy Boost 350 V2. Fresh off the heels of NBA All-Star Weekend - these Yeezys are nicknamed the Zebras and come in a classic white/black/red color scheme. Sporting a white-based Primeknit upper with black accents giving off a Zebra stripe vibe - SPLY-350 displayed across the sides in red finished off by a translucent BOOST cushioned sole. To date they are the most limited adidas Yeezy release.",training,https://stockx.com/adidas-yeezy-boost-350-v2-white-core-black-red,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Zebra/Images/adidas-Yeezy-Boost-350-V2-Zebra/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606321670&w=1000
"Yeezy Boost 350 V2 Carbon",Adidas,10/02/2020,"Kanye West",Black,US,m,4,17,300,341,"Kanye West and adidas keep the ball rolling with the Yeezy 350 V2 Carbon. This release marks the 12th colorway of the favorite 350 V2 model in 2020 and the dark-hued upper makes it the perfect piece of footwear for fall. The Yeezy 350 V2 Carbon holds all of the familiar elements that make the silhouette so popular. The breathable Primeknit solid black mesh with its signature side stripe and classic BOOST cushioning make the 350 V2 Carbon easy to love and easy to wear. The Yeezy 350 V2 Carbon released in October of 2020.",training,https://stockx.com/adidas-yeezy-boost-350-v2-asriel,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Carbon/Images/adidas-Yeezy-Boost-350-V2-Carbon/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606320652&w=1000
"Yeezy Boost 350 V2 Zyon",Adidas,07/18/2020,"Kanye West",Grey,US,m,4,17,231,269,"This 350 V2 dons a similar pattern as the Static colorway only this time ditching a white side stripe and grey accents for a darker brown stripe and mocha hues. This Yeezy 350 V2 is composed of a Zyon Primeknit upper with a dark tonal side stripe. A translucent Boost cushioned sole and cream interior complete the design. These sneakers released in March of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-zyon,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Zyon/Images/adidas-Yeezy-Boost-350-V2-Zyon/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606325931&w=1000
"Yeezy Boost 350 V2 Natural",Adidas,10/24/2020,"Kanye West",White,US,m,4,17,212,314,"The Yeezy Boost 350 V2 Natural is reminiscent of the 350 V2 Cream that released in 2017. Its upper is mostly white but instead of a monotone look hits of light grey on the Primeknit upper give this design an identity of its own. A yellowed translucent Boost sole and a see-through side stripe add the finishing touches to this most recent addition to the 350 V2 collection. The Yeezy Boost 350 V2 Natural released in October of 2020 and retailed for $200.",training,https://stockx.com/adidas-yeezy-boost-350-v2-natural,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Natural/Images/adidas-Yeezy-Boost-350-V2-Natural/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606326131&w=1000
"Ultra Boost 4.0 Running White",Adidas,11/30/2017,null,White,US,m,4,18,129,151,"The best-selling model from adidas is back and better than ever on its fourth iteration. Featured in a running white colorway - the adidas Ultra Boost 4.0 does not disappoint. Keeping things clean this pair dons running white on the revamped primeknit upper and boost midsole. Finishing things off is a black Continental rubber outsole. The adidas Ultra Boost has become a fan favorite for its superior performance as well as its seamless lifestyle aesthetic. This pair dropped in November 2017 for $180.",training,https://stockx.com/adidas-ultra-boost-4-0-running-white,https://stockx-360.imgix.net/adidas-Ultra-Boost-4-0-Running-White/Images/adidas-Ultra-Boost-4-0-Running-White/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606318331&w=1000
"Yeezy Boost 350 V2 Fade",Adidas,11/11/2020,"Kanye West",Brown,US,m,4,17,256,298,"Yeezy unlocked a new 350 V2 colorway as part of their Fall 2020 lineup with the Yeezy 350 V2 Fade. The earthy brown look is primed for the autumnal season embracing the vibe of newly fallen leaves and their natural surroundings. The Yeezy 350 V2 Fade features a marbled brown Primeknit upper with a deep blue side stripe across the quarter. A tan translucent midsole around a gum Boost interior completes this standard Yeezy design. The Yeezy 350 V2 Fade released in November of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-yecher,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Yecher/Images/adidas-Yeezy-Boost-350-V2-Yecher/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606325394&w=1000
"Yeezy 700 V3 Arzareth",Adidas,08/29/2020,"Kanye West",Blue,US,m,4,17,353,385,"The Yeezy 700 V3 Arzareth welcomed a new wave of color for the ever-growing Yeezy line. Previous releases of the 700 V3 have stayed in neutral territory making the Arzareth a stand out with its striking colorway. The Yeezy 700 V3 Arzareth features a blue and grey Primeknit upper that is complemented by a traditional translucent glow-in-the-dark cage overlay. From there an EVA foam midsole with a grey toe cap and black lining complete the design. The Yeezy 700 V3 Arzareth released in August of 2020 and retailed for $200.",training,https://stockx.com/adidas-yeezy-700-v3-arzareth,https://stockx-360.imgix.net/adidas-Yeezy-700-V3-Arzareth/Images/adidas-Yeezy-700-V3-Arzareth/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606323306&w=1000
"Yeezy Boost 350 V2 Cinder",Adidas,03/21/2020,"Kanye West",Black,US,m,4,17,378,422,"This 350 V2 stays true to the Yeezy signature palette sporting dark earth tones that provide a natural feeling. This Yeezy 350 V2 is composed of a cinder Primeknit upper with a tonal side stripe. A cinder Boost cushioned midsole sole and gold outsole complete the design. These sneakers released in March of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-cinder,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Cinder/Images/adidas-Yeezy-Boost-350-V2-Cinder/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606320313&w=1000
"Yeezy Boost 350 V2 Yecheil (Non-Reflective)",Adidas,12/20/2019,"Kanye West",multi,US,m,4,17,280,352,"Yeezy adds a flare to one of its most well-known designs with the adidas Yeezy 350 Yecheil Non-Reflective. This 350 V2 strays away from the usual earth tones with a colorful palette making it stand out from previous releases. This model was released in both reflective and non-reflective variations. This Yeezy 350 V2 is composed of a black upper with white/red/yellow/blue accents. A black Boost cushioned sole and black side stripe complete the design. These sneakers released in December of 2019 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-yecheil,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Yecheil/Images/adidas-Yeezy-Boost-350-V2-Yecheil/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606325433&w=1000
"Yeezy Boost 350 V2 Desert Sage",Adidas,03/14/2020,"Kanye West",multi,US,m,4,17,269,323,"This 350 V2 dons similar hues as the Beluga colorways only this time ditching a bright orange side stripe and adding a highlighted interior. This Yeezy 350 V2 is composed of a desert sage Primeknit upper with a tonal side stripe. A translucent Boost cushioned sole and orange interior complete the design. These sneakers released in March of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-desert-sage,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Desert-Sage/Images/adidas-Yeezy-Boost-350-V2-Desert-Sage/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606322863&w=1000
"Yeezy Boost 350 V2 Cream/Triple White",Adidas,04/29/2017,"Kanye West",white,US,m,4,17,288,466,"The luminous colored Yeezy Boost 350 has a cream white upper with a core white midsole and camouflaged SPLY-350 branding across the stripe on the sides. These originally released in late April of 2017 with a retail price of $220 and restocked in September of 2018.",training,https://stockx.com/adidas-yeezy-boost-350-v2-cream-white,https://stockx-360.imgix.net/adidas-Yeezy-Boost-350-V2-Cream-White/Images/adidas-Yeezy-Boost-350-V2-Cream-White/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606322741&w=1000
"Yeezy Boost 380 Mist",Adidas,03/25/2020,"Kanye West",grey,US,m,4,17,163,225,"This model was originally known to be the Yeezy Boost 350 V3 but upon release it was given its own silhouette name. The mist colorway released in both reflective and non-reflective variations. This 380 Mist features a Mist Primeknit pattern on its upper and lacks the traditional lateral side stripe. An upgraded translucent Boost midsole and engineered gum outsole grip complete the design. These sneakers released in March of 2020 and retailed for $230.",training,https://stockx.com/adidas-yeezy-boost-380-mist,https://stockx-360.imgix.net/adidas-Yeezy-Boost-380-Mist/Images/adidas-Yeezy-Boost-380-Mist/Lv2/img01.jpg?auto=format,compress&q=90&updated_at=1606319252&w=1000
